theme	period	count	formatCategory	themeLabel
http://data.mimotext.uni-trier.de/entity/Q2882	1795	2	in-12	éducation
http://data.mimotext.uni-trier.de/entity/Q2891	1795	1	in-12	enfance
http://data.mimotext.uni-trier.de/entity/Q2999	1795	2	in-12	mort
http://data.mimotext.uni-trier.de/entity/Q3064	1795	4	in-12	relation amoureuse
http://data.mimotext.uni-trier.de/entity/Q3086	1795	1	in-12	sensualisme
http://data.mimotext.uni-trier.de/entity/Q3025	1750	1	in-12	passion
http://data.mimotext.uni-trier.de/entity/Q3012	1750	2	in-12	nuit
http://data.mimotext.uni-trier.de/entity/Q2907	1785	7	in-12	famille
http://data.mimotext.uni-trier.de/entity/Q2978	1785	17	in-12	malheur
http://data.mimotext.uni-trier.de/entity/Q3126	1785	28	in-12	voyage
http://data.mimotext.uni-trier.de/entity/Q2992	1785	11	in-12	mœurs
http://data.mimotext.uni-trier.de/entity/Q2882	1785	3	in-12	éducation
http://data.mimotext.uni-trier.de/entity/Q2919	1785	16	in-12	galanterie
http://data.mimotext.uni-trier.de/entity/Q3150	1785	3	in-12	cour
http://data.mimotext.uni-trier.de/entity/Q3048	1785	5	in-12	politique
http://data.mimotext.uni-trier.de/entity/Q2984	1785	2	in-12	mélancolie
http://data.mimotext.uni-trier.de/entity/Q2992	1790	1	in-12	mœurs
http://data.mimotext.uni-trier.de/entity/Q3126	1790	9	in-12	voyage
http://data.mimotext.uni-trier.de/entity/Q3018	1790	1	in-12	orientalisme
http://data.mimotext.uni-trier.de/entity/Q3150	1790	1	in-12	cour
http://data.mimotext.uni-trier.de/entity/Q2776	1795	19	in-18	amour
http://data.mimotext.uni-trier.de/entity/Q2820	1795	1	in-18	christianisme
http://data.mimotext.uni-trier.de/entity/Q2848	1795	3	in-18	crime
http://data.mimotext.uni-trier.de/entity/Q2849	1795	2	in-18	critique d'art
http://data.mimotext.uni-trier.de/entity/Q2867	1795	1	in-18	dialogue
http://data.mimotext.uni-trier.de/entity/Q2882	1795	2	in-18	éducation
http://data.mimotext.uni-trier.de/entity/Q2891	1795	2	in-18	enfance
http://data.mimotext.uni-trier.de/entity/Q2895	1795	5	in-18	érotisme
http://data.mimotext.uni-trier.de/entity/Q2901	1795	2	in-18	état
http://data.mimotext.uni-trier.de/entity/Q2907	1795	5	in-18	famille
http://data.mimotext.uni-trier.de/entity/Q2952	1795	5	in-18	interaction
http://data.mimotext.uni-trier.de/entity/Q2969	1795	4	in-18	libertinage
http://data.mimotext.uni-trier.de/entity/Q2972	1795	2	in-18	Lumières
http://data.mimotext.uni-trier.de/entity/Q2987	1795	1	in-18	métaphysique
http://data.mimotext.uni-trier.de/entity/Q2994	1795	1	in-18	monarchie
http://data.mimotext.uni-trier.de/entity/Q2998	1795	1	in-18	morale
http://data.mimotext.uni-trier.de/entity/Q3039	1795	5	in-18	philosophie
http://data.mimotext.uni-trier.de/entity/Q3051	1795	1	in-18	préjugé
http://data.mimotext.uni-trier.de/entity/Q3066	1795	1	in-18	religion
http://data.mimotext.uni-trier.de/entity/Q3069	1795	5	in-18	révolution
http://data.mimotext.uni-trier.de/entity/Q3087	1795	20	in-18	sentiment
http://data.mimotext.uni-trier.de/entity/Q3088	1795	2	in-18	sexualité
http://data.mimotext.uni-trier.de/entity/Q3150	1795	4	in-18	cour
http://data.mimotext.uni-trier.de/entity/Q2790	1795	2	in-18	attraction
http://data.mimotext.uni-trier.de/entity/Q3012	1795	4	in-18	nuit
http://data.mimotext.uni-trier.de/entity/Q3034	1795	2	in-18	personnalité
http://data.mimotext.uni-trier.de/entity/Q3998	1795	1	in-18	affection
http://data.mimotext.uni-trier.de/entity/Q4032	1795	3	in-18	Topic 23:[femme homme esprit]
http://data.mimotext.uni-trier.de/entity/Q2776	1780	3	in-18	amour
http://data.mimotext.uni-trier.de/entity/Q2787	1780	2	in-18	art
http://data.mimotext.uni-trier.de/entity/Q2919	1780	1	in-18	galanterie
http://data.mimotext.uni-trier.de/entity/Q2992	1780	1	in-18	mœurs
http://data.mimotext.uni-trier.de/entity/Q3011	1780	2	in-18	noblesse
http://data.mimotext.uni-trier.de/entity/Q3087	1780	7	in-18	sentiment
http://data.mimotext.uni-trier.de/entity/Q4027	1780	3	in-18	Topic 18:[paraître recevoir personne]
http://data.mimotext.uni-trier.de/entity/Q4032	1780	1	in-18	Topic 23:[femme homme esprit]
http://data.mimotext.uni-trier.de/entity/Q3085	1785	4	in-18	sentimentalisme
http://data.mimotext.uni-trier.de/entity/Q3087	1785	6	in-18	sentiment
http://data.mimotext.uni-trier.de/entity/Q2775	1785	1	in-18	amitié
http://data.mimotext.uni-trier.de/entity/Q2776	1785	4	in-18	amour
http://data.mimotext.uni-trier.de/entity/Q2830	1785	1	in-18	comédie
http://data.mimotext.uni-trier.de/entity/Q2907	1785	1	in-18	famille
http://data.mimotext.uni-trier.de/entity/Q2944	1785	1	in-18	imagination
http://data.mimotext.uni-trier.de/entity/Q2978	1785	2	in-18	malheur
http://data.mimotext.uni-trier.de/entity/Q2984	1785	1	in-18	mélancolie
http://data.mimotext.uni-trier.de/entity/Q3005	1785	2	in-18	nature
http://data.mimotext.uni-trier.de/entity/Q3038	1785	1	in-18	peuple
http://data.mimotext.uni-trier.de/entity/Q3107	1785	1	in-18	tragédie
http://data.mimotext.uni-trier.de/entity/Q3119	1785	1	in-18	vérité
